"","REPORT_DATE","X","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_TEMPH","C_TEMPL","C_RH","C_RHL","C_RHH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_TEMPL","F_TEMPH","F_RH","F_RHL","F_RHH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY","UNIT_TYPE","ST_INC","ST_UNIT","FSCLASS","MAX_AREA_INC","FSCLASS_INC","AREA_Log","SUPPRESSION_BI","SUPP_DECREASE","SUPP_MIX","IMT_NUM","SUPPNUM","INC_ID","LOG_AREA","npl","DURATION","IMT_RANK","INCIDENT_I","lat","lon","usaf.x","stn_name.x","UYDOY","usaf.y","stn_name.y","YEAR","MONTH","DAY","YDAY","YEARMODA","ELEV_M","TEMP","DEWP","VISIB","WDSP","MXSPD","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"11","13-Aug-08",6164,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",226,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",800,"ACRES","WF","FS","Mark Grant","2","Type 2 Team","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",90,"P","13-Aug-08",0,"MILES",NA,"16-Aug-08",NA,1,0,0,"N","Y","N","N",253,"NE",140,84,84,46,14,14,339,"ne",269,73,73,54,10,18,11,"Low","High",3,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,2,1,3,4.70953020131233,4,7,"C","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 226",725784,"ELK CITY",2008,8,13,226,"2008-08-13",451.1,20.8,9.8,NA,0.5,2.1,0,0,0,0,0,0,1.2,2.5,48
"12","14-Aug-08",6139,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",227,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",800,"ACRES","WF","FS","Mark Grant","2","Type 2 Team","L","Lightning","Idaho",46.2,115.950278,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",100,"P","13-Aug-08",0,"MILES",NA,"16-Aug-08",NA,0,0,0,"N","N","N","Y",88,"ne-s",146,89,89,46,14,14,115,"var",278,77,2,58,10,23,11,"Low","High",NA,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,2,1,3,4.70953020131233,4,7,"C","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 227",725784,"ELK CITY",2008,8,14,227,"2008-08-14",451.1,21.6,11.6,NA,0.7,2.1,0,0,0,0,0,0,1.4,2.6,53.8
"13","15-Aug-08",6172,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",228,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"F",800,"ACRES","WF","FS","Mark Grant","2","Type 2 Team","L","Lightning","Idaho",46.2,115.950278,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",100,"P","14-Aug-08",NA,"MILES",NA,"16-Aug-08",NA,0,NA,0,"N","N","N","N",62,"SE",146,89,89,27,10,10,19,"south",278,77,2,19,6,20,11,"Low","High",NA,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,2,1,3,4.70953020131233,4,7,"C","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 228",725784,"ELK CITY",2008,8,15,228,"2008-08-15",451.1,22.4,11.5,NA,0.7,2.1,0,0,0,0,0,0,1.4,2.7,51.9
"14","5-Aug-08",6108,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",218,1930,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"I",1000,"ACRES","WF","PZ","stu hoyt","4","Type 3 IC","U","Under Investigation","idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","15-Oct-08",0,"CHAINS","15-Oct-08",NA,NA,0,0,0,"N","N","Y","N",13,"UPCANYON",5,5,5,146,80,80,14,"V",278,77,2,129,5,19,10,"High","Extreme",2,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,4,3,4,6.90875477931522,4,73,"D","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 218",725784,"ELK CITY",2008,8,5,218,"2008-08-05",451.1,20,9,NA,0.5,2.1,0,0,0,0,0,0,1.1,2.3,47.8
"15","7-Aug-08",6116,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",220,730,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"U",1000,"ACRES","WF","PZ","Chris Hertel/Mike Blinn (t)","4","Type 3 IC","U","Under Investigation","idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","15-Oct-08",NA,"CHAINS","15-Oct-08",NA,NA,0,0,0,"N","N","Y","N",217,"UPCANYON",4,4,4,5,5,5,26,"Up Canyon",265,71,72,97,13,26,10,"High","Extreme",4,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,4,3,4,6.90875477931522,4,73,"D","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 220",725784,"ELK CITY",2008,8,7,220,"2008-08-07",451.1,24.1,14.6,NA,0.4,2.6,0,0,0,0,0,0,1.7,3,56.7
"16","7-Aug-08",6121,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",220,1845,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"U",1000,"ACRES","WF","PZ","Chris Hertel/Mike Blinn (t)","4","Type 3 IC","U","Under Investigation","idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","15-Oct-08",0,"CHAINS","15-Oct-08",NA,NA,0,0,0,"N","N","Y","N",13,"UPCANYON",5,5,5,17,8,8,26,"Up Canyon",277,77,72,90,13,14,10,"High","Extreme",NA,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,4,3,4,6.90875477931522,4,73,"D","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 220",725784,"ELK CITY",2008,8,7,220,"2008-08-07",451.1,24.1,14.6,NA,0.4,2.6,0,0,0,0,0,0,1.7,3,56.7
"17","12-Aug-08",6159,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",225,1715,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"U",1600,"ACRES","WF","PZ","Rob Miramontez","5","Type 4 IC","U","Under Investigation","idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","15-Oct-08",NA,"CHAINS","15-Oct-08",NA,NA,0,0,0,"N","N","Y","N",50,"SSW",140,84,84,17,8,8,116,"W",246,66,61,35,8,9,10,"High","Extreme",NA,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,5,3,4,6.90875477931522,4,73,"E","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 225",725784,"ELK CITY",2008,8,12,225,"2008-08-12",451.1,18.8,8.9,NA,0.8,2.1,0,0,0,0,0,0,1.1,2.2,50
"18","17-Aug-08",6179,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",230,1730,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"U",2600,"ACRES","WF","PZ","Rob Miramontez","5","Type 4 IC","U","Under Investigation","Idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",NA,"P","15-Oct-08",NA,"CHAINS","15-Oct-08",NA,NA,0,0,0,"N","N","Y","N",278,"SSW",6,6,6,3,3,3,116,"W",262,71,66,102,14,15,10,"High","Extreme",NA,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,5,3,4,6.90875477931522,4,73,"E","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 230",725784,"ELK CITY",2008,8,17,230,"2008-08-17",451.1,22.4,11.9,NA,0.4,1.5,0,0,0,0,0,0,1.4,2.7,51.9
"19","17-Oct-08",6240,"2008_ID-NPF-000035_RATTLESNAKE",NA,NA,1,NA,2008,"ID-NPF-000035","ID",291,1130,"RATTLESNAKE",2008,"5-Aug-08",218,"5-Aug-08",218,"F",2520,"ACRES","WF","PZ","Rob Miramontez","5","Type 4 IC","H","Human","Idaho",46.068333,114.866944,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",100,"P","15-Oct-08",NA,"CHAINS","15-Oct-08",NA,"17-Oct-08",0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,"Federal","ID","ID","F",2600,"F",6.90875477931522,"NFS",0,0,5,3,4,6.90875477931522,1,73,"E","2008_ID-NPF-000035_RATTLESNAKE",46.068333,-114.866944,725784,"ELK CITY","725784 2008 291",725784,"ELK CITY",2008,10,17,291,"2008-10-17",451.1,9.6,6.9,NA,0.9,2.6,0,0,0,0,0,0,1,1.2,83.3
"20","18-Aug-08",6168,"2008_ID-NPF-0076_PORCUPINE",NA,NA,1,NA,2008,"ID-NPF-0076","ID",231,1445,"PORCUPINE",2008,"18-Aug-08",231,"18-Aug-08",231,"I",300,"ACRES","WF","CC","Rogers","3","Type 3 Team","L","Lightning","IDAHO",45.720556,115.098056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","1-Oct-08",NA,"CHAINS","1-Oct-08",NA,NA,0,0,0,"N","N","N","N",30,"SW",137,86,81,13,7,13,115,"West",224,61,66,126,18,30,8,"High","High",2,NA,"Federal","ID","ID","E",2350,"F",5.70711026474888,"NFS",0,0,3,2,6,5.70711026474888,4,63,"D","2008_ID-NPF-0076_PORCUPINE",45.720556,-115.098056,725784,"ELK CITY","725784 2008 231",725784,"ELK CITY",2008,8,18,231,"2008-08-18",451.1,23.2,12.8,NA,0.9,2.1,0,0,0,0,0,0,1.5,2.8,53.6
"21","19-Aug-08",6184,"2008_ID-NPF-0076_PORCUPINE",NA,NA,1,NA,2008,"ID-NPF-0076","ID",232,1700,"PORCUPINE",2008,"18-Aug-08",231,"18-Aug-08",231,"U",2147,"ACRES","WF","CC","Rogers","3","Type 3 Team","L","Lightning","IDAHO",45.720556,115.098056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","1-Oct-08",NA,"CHAINS","1-Oct-08",NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"High","High",2,NA,"Federal","ID","ID","F",2350,"F",5.70711026474888,"NFS",0,0,3,2,6,5.70711026474888,4,63,"D","2008_ID-NPF-0076_PORCUPINE",45.720556,-115.098056,725784,"ELK CITY","725784 2008 232",725784,"ELK CITY",2008,8,19,232,"2008-08-19",451.1,23.3,13.8,NA,0.9,4.6,0,0,0,0,0,0,1.6,2.9,55.2
"22","20-Aug-08",6190,"2008_ID-NPF-0076_PORCUPINE",NA,NA,1,NA,2008,"ID-NPF-0076","ID",233,1700,"PORCUPINE",2008,"18-Aug-08",231,"18-Aug-08",231,"U",2147,"ACRES","WF","CC","Rogers","3","Type 3 Team","L","Lightning","IDAHO",45.720556,115.098056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","1-Oct-08",NA,"CHAINS","1-Oct-08",NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,2,NA,"Federal","ID","ID","F",2350,"F",5.70711026474888,"NFS",0,0,3,2,6,5.70711026474888,4,63,"D","2008_ID-NPF-0076_PORCUPINE",45.720556,-115.098056,725784,"ELK CITY","725784 2008 233",725784,"ELK CITY",2008,8,20,233,"2008-08-20",451.1,18.8,15.2,NA,0.1,1.5,0,0,0,0,0,0,1.7,2.2,77.3
"23","21-Aug-08",6194,"2008_ID-NPF-0076_PORCUPINE",NA,NA,1,NA,2008,"ID-NPF-0076","ID",234,1700,"PORCUPINE",2008,"18-Aug-08",231,"18-Aug-08",231,"U",2147,"ACRES","WF","CC","Rogers","3","Type 3 Team","L","Lightning","IDAHO",45.720556,115.098056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",10,"P","1-Oct-08",NA,"CHAINS","1-Oct-08","21-Aug-08",NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,"Medium","Medium",NA,NA,"Federal","ID","ID","F",2350,"F",5.70711026474888,"NFS",0,0,3,2,6,5.70711026474888,3,63,"D","2008_ID-NPF-0076_PORCUPINE",45.720556,-115.098056,725784,"ELK CITY","725784 2008 234",725784,"ELK CITY",2008,8,21,234,"2008-08-21",451.1,15.8,15.1,NA,0.2,2.1,0,0,0,0,0,0,1.7,1.8,94.4
"24","17-Sep-08",6228,"2008_ID-NPF-0076_PORCUPINE",NA,NA,1,NA,2008,"ID-NPF-0076","ID",261,710,"PORCUPINE",2008,"18-Aug-08",231,"18-Aug-08",231,"U",2350,"ACRES","WF","CC","Rogers","3","Type 3 Team","L","Lightning","IDAHO",45.720556,115.098056,NA,"ID","NPF","IDNPF","NR","Federal","USDA","FS","ID","NPF",25,"P","1-Oct-08",NA,"CHAINS","1-Oct-08","1-Oct-08",NA,0,NA,0,"N","N","N","N",13,"SW",138,82,82,159,90,90,26,"SW",247,66,66,47,3,9,8,"Medium","Medium",NA,NA,"Federal","ID","ID","F",2350,"F",5.70711026474888,"NFS",0,0,3,2,6,5.70711026474888,2,63,"D","2008_ID-NPF-0076_PORCUPINE",45.720556,-115.098056,725784,"ELK CITY","725784 2008 261",725784,"ELK CITY",2008,9,17,261,"2008-09-17",451.1,14.7,8.9,NA,0.4,2.1,0,0,0,0,0,0,1.1,1.7,64.7
